CBSACode,MedianEarnings,MedianIncomeHouseholds
46520,37513,77161
46540,31947,49580
46660,25392,37793
46700,38391,69227
47020,31740,54671
47220,30998,49537
47260,34816,60059
47300,25654,42789
47380,27481,43778
47460,28933,48015
47580,32348,52400
47900,50848,93804
47940,31410,52469
48060,30311,49911
48140,33054,54227
48260,30156,42319
48300,30391,52475
48540,29678,43736
48620,32910,52068
48660,29738,46043
48700,31596,48731
48900,31269,50445
49020,34207,56053
49180,31652,45296
49340,40668,65973
49420,27043,45700
49620,36165,59853
49660,30038,43455
49700,30732,51008
49740,25975,41467
